2015 Kingston Gibson Relays,Q55189311
2015 Kingston G.C. Foster Classics,Q55189397
2015 Kingston Utech Classic,Q55189514
2015 Rio de Janeiro Mano a Mano Challenge,Q55189529
2017 Kingston Racers Grand Prix,Q55189635
2016 Georgetown Cayman Invitational,Q55189888
2022 New Balance Indoor Grand Prix,Q116059550
